Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
"SSgA Funds Management, Inc.",3.61%,"12,023,427","596,722,682","-584,772",-4.64%,LYB
Capital Research & Management Co....,3.28%,"10,945,541","543,227,200","+314,400",+2.96%,LYB
Janus Capital Management LLC,1.90%,"6,330,601","314,187,728","+109,265",+1.76%,LYB
"Northern Trust Investments, Inc.(...",1.15%,"3,846,445","190,899,065","+24,558",+0.64%,LYB
Geode Capital Management LLC,1.13%,"3,753,632","186,292,756","+87,281",+2.38%,LYB
LSV Asset Management,1.11%,"3,704,676","183,863,070","+11,287",+0.31%,LYB
SunAmerica Asset Management LLC,1.05%,"3,487,255","173,072,466","-159,237",-4.37%,LYB
"The Vanguard Group, Inc.",10.72%,"13,926,406","1,440,408,173","-126,255",-0.90%,MTB
BlackRock Fund Advisors,5.05%,"6,564,966","679,014,433","-339,965",-4.92%,MTB
Wellington Management Co. LLP,4.83%,"6,272,847","648,800,565","+190,364",+3.13%,MTB
"SSgA Funds Management, Inc.",4.80%,"6,233,062","644,685,603","-17,279",-0.28%,MTB
"Berkshire Hathaway, Inc. (Investm...",4.14%,"5,382,040","556,664,397",0,0.00%,MTB
Fidelity Management & Research Co...,4.08%,"5,296,256","547,791,758","-10,455",-0.20%,MTB
"JPMorgan Investment Management, I...",3.65%,"4,736,562","489,902,608","-156,008",-3.19%,MTB
State Farm Investment Management ...,3.46%,"4,499,913","465,426,002","-348,200",-7.18%,MTB
"Invesco Advisers, Inc.",2.70%,"3,504,281","362,447,784","+33,492",+0.96%,MTB
Geode Capital Management LLC,1.68%,"2,181,132","225,594,483","+6,437",+0.30%,MTB
"The Vanguard Group, Inc.",11.06%,"34,159,419","167,722,747","+15,658",+0.05%,M
Yacktman Asset Management LP,7.91%,"24,445,989","120,029,806","+684,105",+2.88%,M
BlackRock Fund Advisors,7.59%,"23,453,004","115,154,250","-557,000",-2.32%,M
SunAmerica Asset Management LLC,6.12%,"18,897,586","92,787,147","+8,193,401",+76.54%,M
"SSgA Funds Management, Inc.",4.57%,"14,104,808","69,254,607","-2,467,390",-14.89%,M
Contrarius Investment Management ...,3.31%,"10,238,734","50,272,184","+426,326",+4.34%,M
Goldman Sachs Asset Management LP,3.30%,"10,187,709","50,021,651","+5,609,481",+122.53%,M
Dimensional Fund Advisors LP,3.05%,"9,408,502","46,195,745","-224,756",-2.33%,M
Mellon Investments Corp.,2.46%,"7,586,517","37,249,798","+1,741,886",+29.80%,M
Geode Capital Management LLC,1.71%,"5,286,161","25,955,051","+184,568",+3.62%,M
"The Vanguard Group, Inc.",11.68%,"92,935,393","305,757,443","+416,053",+0.45%,MRO
Macquarie Investment Management B...,8.34%,"66,374,649","218,372,595","+10,157,592",+18.07%,MRO
"Invesco Advisers, Inc.",6.18%,"49,176,792","161,791,646","+2,161,684",+4.60%,MRO
BlackRock Fund Advisors,5.68%,"45,202,806","148,717,232","+1,733,379",+3.99%,MRO
"SSgA Funds Management, Inc.",5.47%,"43,553,862","143,292,206","+1,843,378",+4.42%,MRO
Hotchkis & Wiley Capital Manageme...,3.88%,"30,899,511","101,659,391","+1,778,361",+6.11%,MRO
Franklin Mutual Advisers LLC,2.05%,"16,335,158","53,742,670","-426,237",-2.54%,MRO
Geode Capital Management LLC,1.71%,"13,612,867","44,786,332","+158,908",+1.18%,MRO
Dimensional Fund Advisors LP,1.67%,"13,304,163","43,770,696","+180,649",+1.38%,MRO
BlackRock Advisors LLC,1.66%,"13,218,375","43,488,454","-186,913",-1.39%,MRO
"The Vanguard Group, Inc.",8.12%,"52,771,047","1,246,452,130","-334,794",-0.63%,MPC
"SSgA Funds Management, Inc.",4.98%,"32,387,849","765,000,993","+365,638",+1.14%,MPC
BlackRock Fund Advisors,4.93%,"32,028,606","756,515,674","+1,521,844",+4.99%,MPC
"Boston Partners Global Investors,...",2.62%,"17,001,761","401,581,595","+4,194,733",+32.75%,MPC
Wellington Management Co. LLP,1.69%,"10,974,759","259,223,808","+204,655",+1.90%,MPC
"JPMorgan Investment Management, I...",1.60%,"10,426,212","246,267,127","-1,413,982",-11.94%,MPC
Elliott Management Corp.,1.48%,"9,648,273","227,892,208","+1,050,000",+12.21%,MPC
Geode Capital Management LLC,1.42%,"9,257,682","218,666,449","+193,632",+2.14%,MPC
BlackRock Advisors LLC,1.26%,"8,161,451","192,773,473","+133,105",+1.66%,MPC
Columbia Management Investment Ad...,1.16%,"7,565,058","178,686,670","+1,315,951",+21.06%,MPC
"The Vanguard Group, Inc.",10.36%,"3,927,746","1,306,250,487","+30,872",+0.79%,MKTX
Baillie Gifford & Co.,7.97%,"3,021,606","1,004,895,507","-873,038",-22.42%,MKTX
BlackRock Fund Advisors,6.30%,"2,389,133","794,553,962","+85,534",+3.71%,MKTX
"T. Rowe Price Associates, Inc. (I...",4.70%,"1,783,052","592,989,604","-286,615",-13.85%,MKTX
"SSgA Funds Management, Inc.",4.56%,"1,727,556","574,533,299","+61,232",+3.67%,MKTX
Kayne Anderson Rudnick Investment...,4.23%,"1,602,858","533,062,485","-30,881",-1.89%,MKTX
"JPMorgan Investment Management, I...",3.24%,"1,227,419","408,202,737","+193,363",+18.70%,MKTX
Renaissance Technologies LLC,2.52%,"955,954","317,921,622","+237,744",+33.10%,MKTX
Geode Capital Management LLC,2.26%,"857,532","285,189,417","+23,162",+2.78%,MKTX
Neuberger Berman Investment Advis...,2.12%,"803,638","267,265,890","-24,293",-2.93%,MKTX
"The Vanguard Group, Inc.",6.15%,"19,931,497","1,491,075,291","-92,004",-0.46%,MAR
Capital Research & Management Co....,4.85%,"15,718,068","1,175,868,667","-24,697",-0.16%,MAR
"SSgA Funds Management, Inc.",3.57%,"11,561,933","864,948,208","-96,423",-0.83%,MAR
BlackRock Fund Advisors,3.53%,"11,433,856","855,366,767","-41,783",-0.36%,MAR
"T. Rowe Price Associates, Inc. (I...",3.04%,"9,870,198","738,389,512","+595,716",+6.42%,MAR
Massachusetts Financial Services ...,2.95%,"9,550,731","714,490,186","+1,444,875",+17.83%,MAR
Eagle Capital Management LLC,2.90%,"9,416,679","704,461,756","-192,104",-2.00%,MAR
Capital Research & Management Co....,2.65%,"8,589,568","642,585,582","+214,793",+2.56%,MAR
Capital Research & Management Co....,2.29%,"7,422,779","555,298,097","+547,795",+7.97%,MAR
Jennison Associates LLC,1.51%,"4,887,667","365,646,368","-347,657",-6.64%,MAR
"The Vanguard Group, Inc.",7.58%,"38,213,075","3,303,902,465","-72,422",-0.19%,MMC
"T. Rowe Price Associates, Inc. (I...",7.03%,"35,408,306","3,061,402,137","+258,248",+0.73%,MMC
BlackRock Fund Advisors,5.46%,"27,516,667","2,379,091,029","+306,475",+1.13%,MMC
Wellington Management Co. LLP,4.76%,"23,963,620","2,071,894,585","-1,260,138",-5.00%,MMC
"SSgA Funds Management, Inc.",4.63%,"23,311,154","2,015,482,375","+8,619",+0.04%,MMC
Capital Research & Management Co....,3.96%,"19,957,254","1,725,504,181","+331,061",+1.69%,MMC
Capital Research & Management Co....,2.96%,"14,913,547","1,289,425,274","-778,219",-4.96%,MMC
Fidelity Management & Research Co...,2.64%,"13,321,619","1,151,787,179","+571,870",+4.49%,MMC
Massachusetts Financial Services ...,2.52%,"12,676,660","1,096,024,024","+4,206,455",+49.66%,MMC
PRIMECAP Management Co.,1.68%,"8,482,775","733,420,727","-24,750",-0.29%,MMC
"The Vanguard Group, Inc.",10.92%,"6,794,063","1,285,640,541","+30,201",+0.45%,MLM
BlackRock Fund Advisors,4.99%,"3,105,442","587,642,790","+181,180",+6.20%,MLM
Baillie Gifford & Co.,4.38%,"2,726,348","515,906,832","-99,967",-3.54%,MLM
Aristotle Capital Management LLC,4.36%,"2,709,646","512,746,313","+828,506",+44.04%,MLM
"SSgA Funds Management, Inc.",4.21%,"2,620,842","495,941,932","-55,997",-2.09%,MLM
Select Equity Group LP,4.21%,"2,616,390","495,099,480","-194,555",-6.92%,MLM
"JPMorgan Investment Management, I...",2.81%,"1,748,268","330,824,754","-175,059",-9.10%,MLM
Gardner Russo & Gardner LLC,2.71%,"1,687,254","319,279,074","-50,423",-2.90%,MLM
Principal Global Investors LLC,2.43%,"1,510,747","285,878,655","-177,631",-10.52%,MLM
Fidelity Management & Research Co...,2.32%,"1,440,536","272,592,627","+51,403",+3.70%,MLM
"The Vanguard Group, Inc.",11.99%,"31,616,389","1,092,978,568","+616,471",+1.99%,MAS
BlackRock Fund Advisors,5.66%,"14,930,587","516,150,393","+135,678",+0.92%,MAS
"SSgA Funds Management, Inc.",4.83%,"12,736,477","440,300,010","+36,079",+0.28%,MAS
"Fiduciary Management, Inc.",4.58%,"12,083,076","417,711,937","+17,921",+0.15%,MAS
Capital Research & Management Co....,4.19%,"11,046,488","381,877,090","+624,851",+6.00%,MAS
"Northern Trust Investments, Inc.(...",2.85%,"7,512,017","259,690,428","-46,330",-0.61%,MAS
APG Asset Management NV,2.80%,"7,375,811","254,981,786","-138,227",-1.84%,MAS
Capital Research & Management Co....,2.69%,"7,087,206","245,004,711","+2,833",+0.04%,MAS
Massachusetts Financial Services ...,1.86%,"4,893,216","169,158,477","+351,760",+7.75%,MAS
Geode Capital Management LLC,1.68%,"4,427,230","153,049,341","+161,342",+3.78%,MAS
"The Vanguard Group, Inc.",7.04%,"70,019,039","16,913,799,061","+22,549",+0.03%,MA
BlackRock Fund Advisors,4.47%,"44,458,117","10,739,302,743","-762,120",-1.69%,MA
Fidelity Management & Research Co...,3.91%,"38,897,304","9,396,032,754","-1,163,976",-2.91%,MA
"SSgA Funds Management, Inc.",3.71%,"36,930,418","8,920,911,772","+143,079",+0.39%,MA
"T. Rowe Price Associates, Inc. (I...",3.00%,"29,819,096","7,203,100,830","-300,264",-1.00%,MA
Capital Research & Management Co....,2.09%,"20,740,619","5,010,103,926","-486,124",-2.29%,MA
Capital Research & Management Co....,1.79%,"17,804,905","4,300,952,852","+62,592",+0.35%,MA
Geode Capital Management LLC,1.41%,"14,038,211","3,391,070,249","+367,242",+2.69%,MA
Jennison Associates LLC,1.25%,"12,418,591","2,999,834,842","-970,135",-7.25%,MA
Janus Capital Management LLC,1.21%,"11,976,899","2,893,139,722","-1,080,078",-8.27%,MA
"The Vanguard Group, Inc.",11.90%,"14,703,621","2,076,298,321","+139,069",+0.95%,MKC
State Farm Investment Management ...,7.11%,"8,786,400","1,240,727,544","-649,000",-6.88%,MKC
BlackRock Fund Advisors,5.98%,"7,394,204","1,044,135,547","-182,934",-2.41%,MKC
Fundsmith LLP,5.97%,"7,379,711","1,042,088,990","+88,039",+1.21%,MKC
"SSgA Funds Management, Inc.",5.50%,"6,799,333","960,133,813","-11,194",-0.16%,MKC
"Franklin Advisers, Inc.",2.14%,"2,649,362","374,116,408","+1,849",+0.07%,MKC
ClearBridge Investments LLC,1.76%,"2,176,338","307,320,689","+31,009",+1.45%,MKC
Geode Capital Management LLC,1.62%,"1,997,696","282,094,652","+67,401",+3.49%,MKC
"Northern Trust Investments, Inc.(...",1.18%,"1,463,456","206,654,622","-58,135",-3.82%,MKC
Janus Capital Management LLC,0.92%,"1,136,546","160,491,661","-438,092",-27.82%,MKC
"The Vanguard Group, Inc.",11.95%,"32,187,378","1,564,628,445","+606,351",+1.92%,MXIM
"T. Rowe Price Associates, Inc. (I...",10.69%,"28,795,112","1,399,730,394","-5,554,150",-16.17%,MXIM
BlackRock Fund Advisors,5.75%,"15,496,906","753,304,601","+235,189",+1.54%,MXIM
"SSgA Funds Management, Inc.",4.33%,"11,671,676","567,360,170","+227,487",+1.99%,MXIM
American Century Investment Manag...,3.30%,"8,885,634","431,930,669","-628,880",-6.61%,MXIM
Dodge & Cox,3.28%,"8,838,593","429,644,006","-169,750",-1.88%,MXIM
"Invesco Advisers, Inc.",3.03%,"8,174,599","397,367,257","+42,209",+0.52%,MXIM
Newton Investment Management Ltd.,2.43%,"6,541,593","317,986,836","+24,251",+0.37%,MXIM
Geode Capital Management LLC,1.91%,"5,146,132","250,153,477","+176,235",+3.55%,MXIM
Wellington Management Co. LLP,1.72%,"4,628,207","224,977,142","-2,657,413",-36.47%,MXIM
"The Vanguard Group, Inc.",8.91%,"66,397,130","10,978,765,446","+19,582",+0.03%,MCD
"SSgA Funds Management, Inc.",5.25%,"39,150,523","6,473,538,978","-92,882",-0.24%,MCD
BlackRock Fund Advisors,4.97%,"37,049,261","6,126,095,306","+233,786",+0.64%,MCD
Wellington Management Co. LLP,2.78%,"20,693,605","3,421,687,587","+6,129,691",+42.09%,MCD
Fidelity Management & Research Co...,1.82%,"13,585,890","2,246,426,912","-4,507,556",-24.91%,MCD
Geode Capital Management LLC,1.52%,"11,355,408","1,877,616,713","+288,582",+2.61%,MCD
"Northern Trust Investments, Inc.(...",1.51%,"11,264,808","1,862,636,003","-186,489",-1.63%,MCD
Norges Bank Investment Management,1.07%,"7,995,484","1,322,053,279","+523,537",+7.01%,MCD
Morgan Stanley Smith Barney LLC (...,0.94%,"6,976,544","1,153,571,550","+1,065,329",+18.02%,MCD
"JPMorgan Investment Management, I...",0.93%,"6,898,186","1,140,615,055","+1,821,334",+35.88%,MCD
"The Vanguard Group, Inc.",8.70%,"15,405,236","2,083,712,221","-455,418",-2.87%,MCK
Susquehanna Investment Group LLC,5.88%,"10,408,100","1,407,799,606","+10,408,100",--,MCK
BlackRock Fund Advisors,5.15%,"9,110,891","1,232,339,117","-29,019",-0.32%,MCK
"SSgA Funds Management, Inc.",4.74%,"8,389,781","1,134,801,778","-181,838",-2.12%,MCK
Massachusetts Financial Services ...,3.10%,"5,497,359","743,572,778","-575,465",-9.48%,MCK
"Boston Partners Global Investors,...",2.37%,"4,204,640","568,719,606","-197,399",-4.48%,MCK
Wellington Management Co. LLP,2.20%,"3,891,999","526,431,785","-695,916",-15.17%,MCK
Pzena Investment Management LLC,2.12%,"3,760,595","508,658,080","+114,261",+3.13%,MCK
Glenview Capital Management LLC,2.10%,"3,712,589","502,164,788","-292,029",-7.29%,MCK
"Invesco Advisers, Inc.",1.99%,"3,516,706","475,669,654","-185,315",-5.01%,MCK
"The Vanguard Group, Inc.",8.38%,"112,336,894","10,130,541,101","+720,627",+0.65%,MDT
BlackRock Fund Advisors,5.26%,"70,446,564","6,352,871,142","+3,610,195",+5.40%,MDT
Wellington Management Co. LLP,5.13%,"68,769,139","6,201,600,955","-4,321,328",-5.91%,MDT
"SSgA Funds Management, Inc.",4.32%,"57,863,179","5,218,101,482","+567,864",+0.99%,MDT
Massachusetts Financial Services ...,3.95%,"52,984,292","4,778,123,453","-1,655,026",-3.03%,MDT
Lazard Asset Management LLC,2.14%,"28,712,592","2,589,301,547","+551,029",+1.96%,MDT
Geode Capital Management LLC,1.47%,"19,687,292","1,775,399,993","+1,225,925",+6.64%,MDT
"T. Rowe Price Associates, Inc. (I...",1.43%,"19,189,492","1,730,508,389","-3,544,487",-15.59%,MDT
Columbia Management Investment Ad...,1.29%,"17,302,576","1,560,346,304","+2,357,799",+15.78%,MDT
"Northern Trust Investments, Inc.(...",1.25%,"16,741,143","1,509,716,276","-54,536",-0.32%,MDT
"The Vanguard Group, Inc.",8.13%,"206,086,318","15,856,281,307","+332,183",+0.16%,MRK
BlackRock Fund Advisors,4.99%,"126,519,204","9,734,387,556","+1,495,891",+1.20%,MRK
"SSgA Funds Management, Inc.",4.59%,"116,493,884","8,963,039,435","+1,196,724",+1.04%,MRK
Capital Research & Management Co....,2.44%,"61,787,697","4,753,945,407","-18,671,795",-23.21%,MRK
Wellington Management Co. LLP,2.23%,"56,660,903","4,359,489,877","-1,080,764",-1.87%,MRK
Geode Capital Management LLC,1.58%,"39,980,410","3,076,092,745","+685,744",+1.75%,MRK
Capital Research & Management Co....,1.56%,"39,628,116","3,048,987,245","+1,034,782",+2.68%,MRK
"Northern Trust Investments, Inc.(...",1.27%,"32,105,638","2,470,207,788","-520,032",-1.59%,MRK
Janus Capital Management LLC,1.14%,"28,954,215","2,227,737,302","+4,108,756",+16.54%,MRK
Norges Bank Investment Management,1.09%,"27,531,122","2,118,244,527","-824,962",-2.91%,MRK
"The Vanguard Group, Inc.",6.63%,"60,743,697","1,856,934,817","-687,833",-1.12%,MET
Dodge & Cox,5.07%,"46,452,543","1,420,054,240","-346,175",-0.74%,MET
"SSgA Funds Management, Inc.",4.13%,"37,826,098","1,156,343,816","-56,752",-0.15%,MET
BlackRock Fund Advisors,3.92%,"35,882,005","1,096,912,893","-392,450",-1.08%,MET
Fidelity Management & Research Co...,3.59%,"32,835,194","1,003,771,881","+595,542",+1.85%,MET
Wellington Management Co. LLP,3.16%,"28,980,341","885,929,024","-848,578",-2.84%,MET
"T. Rowe Price Associates, Inc. (I...",2.42%,"22,199,156","678,628,199","+4,632,386",+26.37%,MET
"JPMorgan Investment Management, I...",1.39%,"12,733,456","389,261,750","+952,451",+8.08%,MET
Geode Capital Management LLC,1.26%,"11,563,543","353,497,510","+209,218",+1.84%,MET
"Diamond Hill Capital Management, ...",1.07%,"9,773,251","298,768,283","-218,670",-2.19%,MET
"The Vanguard Group, Inc.",11.40%,"2,732,840","1,887,053,348","-36,039",-1.30%,MTD
Fidelity Management & Research Co...,8.59%,"2,059,956","1,422,420,218","-483,500",-19.01%,MTD
BlackRock Fund Advisors,5.33%,"1,276,881","881,699,099","-64,329",-4.80%,MTD
WCM Investment Management LLC,4.96%,"1,189,738","821,525,986","+16,007",+1.36%,MTD
"SSgA Funds Management, Inc.",4.37%,"1,048,280","723,847,823","-4,539",-0.43%,MTD
Fiera Capital Corp. (Investment M...,3.00%,"718,658","496,240,536","-17,488",-2.38%,MTD
Baillie Gifford & Co.,2.72%,"652,526","450,575,728","+22,661",+3.60%,MTD
Massachusetts Financial Services ...,2.29%,"549,920","379,725,259","+39,922",+7.83%,MTD
"Franklin Advisers, Inc.",2.26%,"542,664","374,714,919","+5,866",+1.09%,MTD
Wellington Management Co. LLP,2.19%,"525,782","363,057,729","+151,963",+40.65%,MTD
"T. Rowe Price Associates, Inc. (I...",10.86%,"53,522,989","631,571,270","-1,941,014",-3.50%,MGM
"The Vanguard Group, Inc.",10.58%,"52,130,178","615,136,100","+1,457,712",+2.88%,MGM
Capital Research & Management Co....,6.33%,"31,180,074","367,924,873","-1,604,127",-4.89%,MGM
BlackRock Fund Advisors,4.79%,"23,578,085","278,221,403","+172,004",+0.73%,MGM
Corvex Management LP,4.57%,"22,537,696","265,944,813","+1,600,000",+7.64%,MGM
"SSgA Funds Management, Inc.",4.28%,"21,084,415","248,796,097","+114,176",+0.54%,MGM
Harris Associates LP,3.75%,"18,456,044","217,781,319","-321,890",-1.71%,MGM
Geode Capital Management LLC,1.89%,"9,304,118","109,788,592","+653,416",+7.55%,MGM
Goldman Sachs Asset Management LP,1.64%,"8,095,057","95,521,673","+6,805,586",+527.78%,MGM
Canyon Capital Advisors LLC,1.61%,"7,908,449","93,319,698","-3,411,231",-30.14%,MGM
"The Vanguard Group, Inc.",11.80%,"28,258,944","1,915,956,403","+268,286",+0.96%,MCHP
Dodge & Cox,10.45%,"25,036,146","1,697,450,699","-413,700",-1.63%,MCHP
"T. Rowe Price Associates, Inc. (I...",6.84%,"16,379,846","1,110,553,559","-2,810,334",-14.64%,MCHP
Janus Capital Management LLC,5.43%,"13,005,509","881,773,510","+2,639,818",+25.47%,MCHP
BlackRock Fund Advisors,5.20%,"12,461,771","844,908,074","-251,435",-1.98%,MCHP
"SSgA Funds Management, Inc.",4.03%,"9,657,648","654,788,534","+191,510",+2.02%,MCHP
Aristotle Capital Management LLC,3.56%,"8,533,019","578,538,688","+3,014,412",+54.62%,MCHP
Principal Global Investors LLC,2.40%,"5,751,517","389,952,853","+7,634",+0.13%,MCHP
Fidelity Management & Research Co...,2.00%,"4,789,279","324,713,116","-2,303,435",-32.48%,MCHP
Managed Account Advisors LLC,1.77%,"4,229,862","286,784,644","+494,645",+13.24%,MCHP
"The Vanguard Group, Inc.",7.72%,"85,875,658","3,611,930,175","+920,233",+1.08%,MU
PRIMECAP Management Co.,5.02%,"55,877,289","2,350,198,775","-741,417",-1.31%,MU
BlackRock Fund Advisors,4.74%,"52,660,542","2,214,902,397","+1,792,869",+3.52%,MU
"SSgA Funds Management, Inc.",4.29%,"47,746,271","2,008,208,158","+501,020",+1.06%,MU
Fidelity Management & Research Co...,3.72%,"41,359,395","1,739,576,154","+11,274,208",+37.47%,MU
"T. Rowe Price Associates, Inc. (I...",2.19%,"24,334,693","1,023,517,188","-6,231,454",-20.39%,MU
Sanders Capital LLC,1.66%,"18,507,152","778,410,813","+13,321,570",+256.90%,MU
Wellington Management Co. LLP,1.66%,"18,485,500","777,500,130","-5,159,605",-21.82%,MU
Geode Capital Management LLC,1.47%,"16,353,414","687,824,593","-423,090",-2.52%,MU
Capital Research & Management Co....,1.25%,"13,944,765","586,516,816","-4,839,470",-25.76%,MU
"The Vanguard Group, Inc.",8.03%,"610,665,112","96,307,994,814","+3,346,779",+0.55%,MSFT
BlackRock Fund Advisors,4.57%,"347,319,837","54,775,811,493","+4,975,749",+1.45%,MSFT
"SSgA Funds Management, Inc.",4.15%,"315,672,520","49,784,713,129","+1,800,778",+0.57%,MSFT
Fidelity Management & Research Co...,2.95%,"224,170,791","35,353,975,449","-3,531,701",-1.55%,MSFT
Capital Research & Management Co....,2.37%,"180,557,630","28,475,743,827","+107,242",+0.06%,MSFT
"T. Rowe Price Associates, Inc. (I...",2.30%,"175,036,277","27,604,971,246","-14,955,902",-7.87%,MSFT
Geode Capital Management LLC,1.49%,"113,401,519","17,884,553,561","+5,771,223",+5.36%,MSFT
Capital Research & Management Co....,1.32%,"99,996,798","15,770,495,013","+1,055,292",+1.07%,MSFT
"Northern Trust Investments, Inc.(...",1.23%,"93,192,050","14,697,318,206","-92,423",-0.10%,MSFT
Capital Research & Management Co....,1.22%,"92,776,236","14,631,740,180","-117,657",-0.13%,MSFT
"The Vanguard Group, Inc.",16.75%,"19,136,841","1,971,668,728","+211,593",+1.12%,MAA
BlackRock Fund Advisors,7.49%,"8,555,200","881,442,256","+479,532",+5.94%,MAA
"SSgA Funds Management, Inc.",6.73%,"7,688,823","792,179,434","-502,224",-6.13%,MAA
AllianceBernstein LP,3.25%,"3,717,088","382,971,577","-379,026",-9.25%,MAA
"APG Asset Management US, Inc.",2.90%,"3,312,000","341,235,360","+194,600",+6.24%,MAA
Geode Capital Management LLC,2.04%,"2,335,767","240,654,074","+146,484",+6.69%,MAA
"JPMorgan Investment Management, I...",1.87%,"2,139,572","220,440,103","-1,236,269",-36.62%,MAA
Massachusetts Financial Services ...,1.74%,"1,984,887","204,502,908","+149,423",+8.14%,MAA
"Northern Trust Investments, Inc.(...",1.56%,"1,784,016","183,807,168","+65,048",+3.78%,MAA
Dimensional Fund Advisors LP,1.52%,"1,739,018","179,171,025","-11,379",-0.65%,MAA
"The Vanguard Group, Inc.",8.80%,"6,304,804","480,678,257","-29,424",-0.46%,MHK
Eagle Capital Management LLC,4.93%,"3,530,337","269,152,893","-1,108,290",-23.89%,MHK
Fidelity Management & Research Co...,4.34%,"3,107,747","236,934,631","+31,922",+1.04%,MHK
"Boston Partners Global Investors,...",4.25%,"3,048,585","232,424,120","+3,048,585",--,MHK
BlackRock Fund Advisors,4.23%,"3,029,408","230,962,066","-29,407",-0.96%,MHK
"SSgA Funds Management, Inc.",3.95%,"2,828,186","215,620,901","-23,368",-0.82%,MHK
Pzena Investment Management LLC,2.84%,"2,034,926","155,142,758","+131,899",+6.93%,MHK
"JPMorgan Investment Management, I...",2.20%,"1,574,724","120,056,958","-250,581",-13.73%,MHK
"Wells Capital Management, Inc.",1.94%,"1,389,043","105,900,638","+106,582",+8.31%,MHK
Dimensional Fund Advisors LP,1.90%,"1,362,199","103,854,052","-101,307",-6.92%,MHK
"The Vanguard Group, Inc.",11.14%,"21,862,893","852,871,456","-89,025",-0.41%,TAP
Dodge & Cox,10.64%,"20,878,307","814,462,756","+3,758,639",+21.96%,TAP
"SSgA Funds Management, Inc.",4.77%,"9,357,708","365,044,189","+251,413",+2.76%,TAP
BlackRock Fund Advisors,4.70%,"9,219,358","359,647,156","+425,621",+4.84%,TAP
Independent Franchise Partners LL...,4.11%,"8,075,187","315,013,045","-371,708",-4.40%,TAP
LSV Asset Management,2.37%,"4,655,218","181,600,054","+87,812",+1.92%,TAP
"Wells Capital Management, Inc.",1.97%,"3,873,439","151,102,855","-505,443",-11.54%,TAP
Geode Capital Management LLC,1.50%,"2,951,379","115,133,295","-86,646",-2.85%,TAP
Clarkston Capital Partners LLC,1.22%,"2,391,304","93,284,769","+168,668",+7.59%,TAP
Dimensional Fund Advisors LP,1.19%,"2,327,229","90,785,203","-226,586",-8.87%,TAP
"The Vanguard Group, Inc.",7.65%,"109,618,494","5,489,694,180","+779,099",+0.72%,MDLZ
"SSgA Funds Management, Inc.",4.70%,"67,285,113","3,369,638,459","+129,335",+0.19%,MDLZ
BlackRock Fund Advisors,4.50%,"64,510,957","3,230,708,727","-2,533,793",-3.78%,MDLZ
Lindsell Train Ltd.,2.30%,"33,002,436","1,652,761,995","+765,113",+2.37%,MDLZ
Capital Research & Management Co....,1.65%,"23,705,395","1,187,166,182","-214,418",-0.90%,MDLZ
"Northern Trust Investments, Inc.(...",1.50%,"21,489,024","1,076,170,322","-11,152",-0.05%,MDLZ
Geode Capital Management LLC,1.46%,"20,936,459","1,048,497,867","-245,685",-1.16%,MDLZ
Capital Research & Management Co....,1.42%,"20,332,545","1,018,253,854","+1,508,658",+8.01%,MDLZ
Wellington Management Co. LLP,1.33%,"19,111,334","957,095,607","+865,915",+4.75%,MDLZ
Trian Fund Management LP,1.31%,"18,819,336","942,472,347","-9,029",-0.05%,MDLZ
"The Vanguard Group, Inc.",5.53%,"29,713,567","1,671,685,279","-263,524",-0.88%,MNST
"Loomis, Sayles & Co. LP",4.76%,"25,557,087","1,437,841,715","+684,281",+2.75%,MNST
Fidelity Management & Research Co...,4.29%,"23,007,872","1,294,422,879","-7,487,441",-24.55%,MNST
"SSgA Funds Management, Inc.",3.30%,"17,689,488","995,210,595","-65,532",-0.37%,MNST
BlackRock Fund Advisors,3.29%,"17,674,869","994,388,130","+344,779",+1.99%,MNST
AllianceBernstein LP,3.28%,"17,582,447","989,188,468","+2,457,315",+16.25%,MNST
Viking Global Investors LP,2.41%,"12,944,911","728,280,693","+2,410,588",+22.88%,MNST
Renaissance Technologies LLC,2.13%,"11,452,315","644,307,242","+1,934,311",+20.32%,MNST
TIAA-CREF Investment Management L...,1.53%,"8,227,243","462,864,691","+198,705",+2.47%,MNST
Sands Capital Management LLC,1.37%,"7,359,544","414,047,945","-2,529,592",-25.58%,MNST
"Berkshire Hathaway, Inc. (Investm...",13.18%,"24,669,778","5,217,658,047",0,0.00%,MCO
"The Vanguard Group, Inc.",6.55%,"12,270,121","2,595,130,592","+29,776",+0.24%,MCO
BlackRock Fund Advisors,4.01%,"7,503,697","1,587,031,916","+243,184",+3.35%,MCO
"SSgA Funds Management, Inc.",3.79%,"7,102,216","1,502,118,684","+1,518",+0.02%,MCO
Fiera Capital Corp. (Investment M...,3.51%,"6,567,850","1,389,100,275","+144,262",+2.25%,MCO
TCI Fund Management Ltd.,3.22%,"6,022,912","1,273,845,888",0,0.00%,MCO
Akre Capital Management LLC,3.04%,"5,681,643","1,201,667,495",-160,-0.00%,MCO
Baillie Gifford & Co.,3.02%,"5,645,037","1,193,925,326","-171,444",-2.95%,MCO
Fidelity Management & Research Co...,2.77%,"5,185,362","1,096,704,063","+105,222",+2.07%,MCO
Capital Research & Management Co....,2.67%,"5,003,152","1,058,166,648","-278,605",-5.27%,MCO
"SSgA Funds Management, Inc.",7.85%,"120,246,188","4,088,370,392","+308,911",+0.26%,MS
