Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
Capital Research & Management Co....,2.25%,"4,672,749","881,373,916","+152,377",+3.37%,EW
Wellington Management Co. LLP,2.15%,"4,463,477","841,901,032","+187,836",+4.39%,EW
Capital Research & Management Co....,2.15%,"4,457,984","840,864,942","+682,490",+18.08%,EW
Walter Scott & Partners Ltd.,2.10%,"4,351,931","820,861,225","-266,040",-5.76%,EW
"The Vanguard Group, Inc.",7.61%,"22,051,510","2,208,899,757","-129,953",-0.59%,EA
BlackRock Fund Advisors,4.64%,"13,440,080","1,346,292,814","+335,029",+2.56%,EA
"SSgA Funds Management, Inc.",4.58%,"13,268,443","1,329,099,935","+264,185",+2.03%,EA
Massachusetts Financial Services ...,3.70%,"10,726,772","1,074,500,751","+813,201",+8.20%,EA
Fidelity Management & Research Co...,3.08%,"8,908,214","892,335,796","-1,269,226",-12.47%,EA
AllianceBernstein LP,2.51%,"7,268,691","728,104,777","+316,468",+4.55%,EA
Wellington Management Co. LLP,2.40%,"6,936,721","694,851,343","+122,606",+1.80%,EA
"T. Rowe Price Associates, Inc. (I...",1.69%,"4,898,948","490,727,621","-7,828,107",-61.51%,EA
Brown Advisory LLC,1.60%,"4,625,467","463,333,029","+160,205",+3.59%,EA
Lazard Asset Management LLC,1.58%,"4,575,505","458,328,336","+1,048,832",+29.74%,EA
"The Vanguard Group, Inc.",7.65%,"46,814,093","2,230,691,531","-56,472",-0.12%,EMR
BlackRock Fund Advisors,4.81%,"29,425,163","1,402,109,017","-2,112",-0.01%,EMR
"SSgA Funds Management, Inc.",4.79%,"29,277,303","1,395,063,488","+4,290",+0.01%,EMR
Longview Partners LLP,2.76%,"16,854,366","803,110,540","-42,706",-0.25%,EMR
Capital Research & Management Co....,2.40%,"14,705,335","700,709,213","+102,776",+0.70%,EMR
American Century Investment Manag...,1.73%,"10,580,981","504,183,745","+3,158,865",+42.56%,EMR
"Northern Trust Investments, Inc.(...",1.48%,"9,032,173","430,383,043","-19,531",-0.22%,EMR
Geode Capital Management LLC,1.39%,"8,517,940","405,879,841","+203,498",+2.45%,EMR
D. E. Shaw & Co. LP,1.33%,"8,155,164","388,593,565","+7,571,322","+1,296.81%",EMR
Morgan Stanley Smith Barney LLC (...,1.29%,"7,865,902","374,810,230","+392,220",+5.25%,EMR
"The Vanguard Group, Inc.",12.06%,"24,225,570","2,276,476,813","+543,868",+2.30%,ETR
BlackRock Fund Advisors,6.65%,"13,345,674","1,254,092,986","+730,152",+5.79%,ETR
"SSgA Funds Management, Inc.",5.66%,"11,374,316","1,068,844,475","+592,844",+5.50%,ETR
"T. Rowe Price Associates, Inc. (I...",3.76%,"7,542,813","708,798,138","-2,949,160",-28.11%,ETR
"Invesco Advisers, Inc.",3.11%,"6,252,193","587,518,576","-338,572",-5.14%,ETR
"JPMorgan Investment Management, I...",2.88%,"5,785,556","543,668,697","+4,175,077",+259.24%,ETR
Renaissance Technologies LLC,2.44%,"4,898,624","460,323,697","+95,491",+1.99%,ETR
Newport Trust Co.,2.18%,"4,380,286","411,615,475","-149,435",-3.30%,ETR
Managed Account Advisors LLC,1.93%,"3,870,812","363,740,204","+3,320,035",+602.79%,ETR
Fidelity Management & Research Co...,1.84%,"3,686,726","346,441,642","+151,155",+4.28%,ETR
Capital Research & Management Co....,10.40%,"60,548,187","2,174,890,877","+10,383,669",+20.70%,EOG
"The Vanguard Group, Inc.",7.86%,"45,722,197","1,642,341,316","+259,177",+0.57%,EOG
Capital Research & Management Co....,7.38%,"42,968,045","1,543,412,176","+5,400,745",+14.38%,EOG
"SSgA Funds Management, Inc.",4.85%,"28,201,688","1,013,004,633","+1,006,145",+3.70%,EOG
BlackRock Fund Advisors,4.31%,"25,089,984","901,232,225","-136,427",-0.54%,EOG
"T. Rowe Price Associates, Inc. (I...",2.37%,"13,817,854","496,337,316","+4,305,549",+45.26%,EOG
Walter Scott & Partners Ltd.,2.01%,"11,689,027","419,869,850","+491,011",+4.38%,EOG
Fidelity Management & Research Co...,1.60%,"9,331,629","335,192,114","+13,847",+0.15%,EOG
Massachusetts Financial Services ...,1.56%,"9,082,996","326,261,216","+1,155,620",+14.58%,EOG
Geode Capital Management LLC,1.41%,"8,226,390","295,491,929","+270,577",+3.40%,EOG
"The Vanguard Group, Inc.",10.68%,"12,948,113","1,546,652,098","+52,354",+0.41%,EFX
Massachusetts Financial Services ...,8.71%,"10,558,380","1,261,198,491","+837,926",+8.62%,EFX
